"","x"
"1",0.0323379900652614
"2",0.888796234149521
"3",0.0443559404171306
"4",0.386695922606098
"5",0.877076486181022
"6",0.246305509375095
"7",0.984125344821455
"8",0.146141525456475
"9",0.966530708070137
"10",0.967847434624397
"11",0.957815737364897
"12",0.0199308232022378
"13",0.0386555123095614
"14",0.0294102255280596
"15",0.990146603344574
"16",0.989941397453409
"17",0.498874003340953
"18",0.183844592888241
"19",0.966010333387897
"20",0.984002581910444
"21",0.099693715555185
"22",0.0378529776645123
"23",0.0272690004186011
"24",0.059771850066472
"25",0.0206013926014751
"26",0.900109842240174
"27",0.106102295097653
"28",0.053602704764708
"29",0.0226323816212637
"30",0.0290802334933736
"31",0.909238160130876
"32",0.940690756013682
"33",0.980912144567563
"34",0.60760000310915
"35",0.985530930808022
"36",0.0389442851926323
"37",0.0293912734616685
"38",0.0272756280969139
"39",0.945678259828209
"40",0.99369128864506
