"","x"
"1",0.127570344839349
"2",0.835740648153416
"3",0.127570344839349
"4",0.474119730987618
"5",0.842002031114761
"6",0.142936462893764
"7",0.84240559432097
"8",0.820690427675214
"9",0.842358765366057
"10",0.835995300763401
"11",0.831327155045162
"12",0.127570344839349
"13",0.127570344839349
"14",0.127570344839349
"15",0.841390488555775
"16",0.835287136158763
"17",0.329076942430061
"18",0.140451738117432
"19",0.841162899604292
"20",0.840260304937547
"21",0.20767913048543
"22",0.127570344839349
"23",0.127570344839349
"24",0.127810805262302
"25",0.127570344839349
"26",0.518556373156159
"27",0.14231276061578
"28",0.127570344839349
"29",0.127570344839349
"30",0.127570344839349
"31",0.827981690828765
"32",0.835109972031765
"33",0.842094479557578
"34",0.28733455839955
"35",0.841930909611381
"36",0.127570344839349
"37",0.129559419233731
"38",0.127570344839349
"39",0.837450625428021
"40",0.840089166878048
